customer_id,Recency,Frequency,Monetary Value
0000366f3b9a7992bf8c76cfdf3221e2,115,1,326
0000b849f77a49e4a4ce2b2a4ca5be3f,118,1,62
0000f46a3911fa3c0805444483337064,541,1,198
0000f6ccb0745a6a4b88665a16c9f078,325,1,100
0004aac84e0df4da2b147fca70cf8255,292,1,452
0004bd2a26a76fe21f786e4fbd80607f,150,1,384
00050ab1314c0e55a6ca13cf7181fecf,135,1,81
00053a61a98854899e70ed204dd4bafe,186,2,1928
0005e1862207bf6ccc02e4228effd9a0,547,1,345
0005ef4cd20d2893f0d9fbd94d3c0d97,174,1,298
0006fdc98a402fceb4eb0ee528f6a8d4,411,1,66
00082cbe03e478190aadbea78542e933,287,1,290
00090324bbad0e9342388303bb71ba0a,162,1,146
000949456b182f53c18b68d6babc79c1,132,1,188
000a5ad9c4601d2bbdd9ed765d5213b3,387,1,209
000bfa1d2f1a41876493be685390d6d3,338,1,107
000c8bdb58a29e7115cfc257230fb21b,264,1,66
000d460961d6dbfa3ec6c9f5805769e1,238,1,84
000de6019bb59f34c099a907c151d855,381,2,1184
000e309254ab1fc5ba99dd469d36bdb4,69,1,180
000ec5bff359e1c0ad76a81a45cb598f,12,1,63
000ed48ceeb6f4bf8ad021a10a3c7b43,105,1,47
000fbf0473c10fc1ab6f8d2d286ce20c,38,4,3333
0010a452c6d13139e50b57f19f52e04e,418,1,749
0010fb34b966d44409382af9e8fd5b77,181,1,142
001147e649a7b1afd577e873841632dd,367,2,975
00115fc7123b5310cf6d3a3aa932699e,589,1,175
0011805441c0d1b68b48002f1d005526,496,1,683
0011857aff0e5871ce5eb429f21cdaf5,431,1,443
0011c98589159d6149979563c504cb21,393,1,271
0012929d977a8d7280bb277c1e5f589d,320,1,358
0014a5a58da615f7b01a4f5e194bf5ea,227,1,229
0015752e079902b12cd00b9b7596276b,31,2,344
00172711b30d52eea8b313a7f2cced02,37,1,280
00191a9719ef48ebb5860b130347bf33,501,1,135
001926cef41060fae572e2e7b30bd2a4,381,2,419
001928b561575b2821c92254a2327d06,9,2,758
00196c4c9a3af7dd2ad10eade69c926f,36,1,86
00196fdb2bf9edfc35e88ebfbcf8d781,192,1,62
0019da6aa6bcb27cc32f1249bd12da05,204,1,201
0019e8c501c85848ac0966d45226fa1d,124,1,453
001a2bf0e46c684031af91fb2bce149d,430,1,84
001a34eb30ecb8e3aacb07c475ca4dd1,53,1,371
001a3a8e11d76c9a366c31a4aa2cc529,105,1,55
001ae44fa04911a9e9577356dce6c63c,300,1,267
001ae5a1788703d64536c30362503e49,268,1,310
001deb796b28a3a128d6113857569aa4,72,1,145
001f3c4211216384d5fe59b041ce1461,532,1,82
002043098f10ba39a4600b6c52fbfe3c,525,1,546
002311514717ca8b65b09a26cdf7b91a,67,1,285
0023557a94bef0038066b5d1b3dc763e,158,1,247
002471155ecd08d208d1376720e2a907,25,1,212
00256bf7b05c08f6a5849df3d0a64f1f,93,1,132
0025795df7a7d077c4c90162fa820085,40,2,984
0027324a96d26a2bc7d69262f83c8403,161,1,107
0028a7d8db7b0247652509358ad8d755,263,1,816
0028cfeb9dfcd3628a56d5b6400deef5,239,1,271
00293787e2aec37a9c253b63fdfe2049,310,2,1186
0029bd580d3012618731f5abb174a07f,304,1,120
002aba8c1af80acacef6e011f9f23262,187,1,500
002ae492472e45ad6ebeb7a625409392,329,2,1005
002b4cd83fabaffaa475f78ea5ef3e08,578,1,148
002bdeb33da5b1b3ce8b9c822f749c82,271,1,87
002cdf87d4c03f08f7eb4551a923affc,306,1,525
002d3bd901608f67c3fc11eaaa842b13,230,1,66
002d71b244beb91ca7030b15ab526446,468,1,300
002da6dde369f6a8b4c999ed61eb5a87,143,1,120
002eb8b96288f3804e21d2777ac29895,407,1,317
002ed12115742033f015cb3c269ccf68,215,1,252
002ef00822613c94613e60e03b169fef,200,1,262
002feefec5af0a3b26ee7839c66d205e,308,1,178
003035f5ec76f2220098377482de93c9,370,1,143
003162bf0351f47a1a247992b8b9b42d,50,1,1234
00324c9f4d710e7bac5c5ba679714430,438,1,252
0032c76b20340da25249092a268ce66c,696,1,333
0032ca69771a7758ce643258bb9e4ac7,48,1,143
0033f4a2887e07e25aa1204d482f41ba,69,1,977
00344274804f3b8003de1b0562ae01df,55,1,520
0034c76b7e6a17d738375b99afc2f01e,118,1,101
0035029989e6fc5cf030918a5f9f2037,113,2,2512
003650b504826ea534e02eba0ab58dd5,228,1,50
0036a074f98b80c4f1fc33dbbcf9c552,478,1,98
0036b4a3d09ad551a5188c2e374da402,389,1,374
0036d365b138cc0ee06bed755bcb5044,214,1,251
00370dfde3d012c420d29657afc2fc8b,216,1,545
00377a18050b898b93e2c774be9947db,281,1,151
0037aa56b017c105c3a9d47af71fff98,219,1,1020
0037d2bbb9ebc39d9114aea27ee16d72,524,1,330
0037eb1ff742ee2e71ba887f65f3c6f3,417,1,526
003800162424b7b5b3d75c9cf22a66e7,154,1,247
00391594070baf8603f5fdc1d0c6a48c,28,1,274
003a5571a07dcf09bf117d13d2980ba3,39,1,418
003a7a8eb096ed3cbf713d2def1ca701,19,1,362
003ac9408252444b489b1bfc013f5f8c,170,1,85
003ae409f37c3c30cb1c974af3a42692,18,1,497
003c2067070f5b3d923235b1ea1cc17b,27,1,338
003c457932a554e4df13834237b1ed00,240,1,327
003d56767e53e08671de00da3fba8d40,275,1,410
003db7adfcdc49857b095a50191b6c9d,123,1,1248
003e28cb6fab8a0901bff9229612375f,538,1,315
003e2af81ea3c72fbdd093f07724a4de,139,2,293
003f4901fdb60ae9c1e2538b84c208e1,287,1,374
003fb95e849e71e732629d94bb92762f,34,1,178
003fee4ca17927283128c7ddc6f9311b,117,1,237
004177f7bf62929186b32c7fdaa6157b,318,2,1996
004256f082951ec189a4962b6788c214,163,1,596
004288347e5e88a27ded2bb23747066c,232,2,815
0042dcca0ae57aaec6e808edc31a2d48,274,1,195
0042dfa8925d6eb23e471ec350454f04,39,1,144
0043d65f8039b4a4d43bc7b0f450ac2c,500,1,148
00444f48f6c9b55657e49435ce3a97ca,450,1,120
00446a03d7a34d191507c9e42870d0a5,545,1,296
004493e0b0a37317d25665d340c0677d,88,1,191
0045e9ad4d6c85d2323a7ab374b76183,75,1,55
0046311f458d8041b00063cb99482903,397,1,258
0047f3e16441284d757a8963344f6c59,370,1,175
0048706e497cfba0b689e1e3497bc99e,18,1,190
0048a779a98a7848514096ff04046079,25,1,94
0049a16516d38fc2246696172a257f16,247,1,75
0049dadc30da6a277c1e9d371df5a66f,446,1,59
0049db44bfd6cee26ac9c649329ff6ea,544,2,501
0049ec2d7a5818d0e4b3f4735cec2458,46,1,101
004a432489f6630c6dfd3fc4454603f5,260,1,193
004b45ec5c64187465168251cd1c9c2f,99,2,339
004b9b1634b7becda8eec4e96bced882,28,1,365
004d17fa2cb102a7c4817f040c884e59,202,1,91
004df63539fd5e38d4b0a0506de7549c,48,1,2285
004ed862ea4e55f18868d3d782d10879,392,1,251
004f84d065096f3cedd26cf0adc80b9d,130,2,869
00504b68faa074d0f40adcb4f7727f71,22,2,914
0050dcff37f8b9ff611d245e30572b46,124,1,156
00522457bba00bba576a34fd9b4808fd,519,1,294
005226be8d5b972d0f72b4e8a79f322b,154,1,3681
00539155ce68fbe677934aebdb17e09b,126,1,133
00543330561a9088f8b3879114a7b008,282,1,170
0055b522bc89cbfbf376d8b59a628470,548,1,838
0055bbb9c95f6acb8db89d1f6c316407,200,1,191
0056c2dd794a5eede6164dcae635875a,25,1,395
0056f26cb8f20916c3baa0e39fc30709,155,1,251
005754cb59f8ee5cdbb5cda9d138757e,43,2,1188
00575b2023dedcc0f3e81a938834689b,302,1,74
0057f64bff87f4698b4cbd338d62a2a8,12,1,190
0058e7db269cc11558913b42beb115d0,107,1,181
0058f300f57d7b93c477a131a59b36c3,164,2,403
0059acd36094bf670ec8b21be6c0044c,447,1,107
005d8faa4cf789cf52fb880a8569880a,114,1,205
005e32bc930906dc6b65fb9d11cce3e2,364,1,114
005ee3e015ec18092d7782e507cf68fe,336,1,432
005f060d4223956c62b64e9567a36f0f,103,1,1788
005f4b46e70bbd3295a38e2fd28d6566,304,1,146
005f6fa02633470267dcd1e3ecd0fa79,37,1,625
005ff4ebe100db3eebbe6f7b19a8f99a,354,1,544
006031108b00e5f73b2426a50b50f9c0,364,1,471
00605a8897ed9ad73b5c93bebad2541a,161,1,71
00626f29f9b57d3ef7c1739ff03e944e,144,1,355
0062adafa3846d9f372d8f1bde591b24,190,1,344
0063817060d662048ed08bccecaf45d5,233,2,328
0064a1b5f5cddd047c987b988a90c8c1,185,4,2476
0064c96f536ac6250275482221834154,74,1,150
00651d97d964127ccfc0e2e55464876d,188,1,54
0065f6fb341f013a95a8e11cdc98d07a,328,1,274
0065f7795a38381973a373c8b4939679,57,1,71
